#CET-8k-gmfofb2
#Global Mirror Failover/Failback
#Nov 7, 2013 11:21:17 PM

H1,H2,J2
DS8000:2107.BWP21:VOL:E0AD,DS8000:2107.BWN81:VOL:DCAD,DS8000:2107.BWN81:VOL:DDAD
DS8000:2107.BWP21:VOL:E0AE,DS8000:2107.BWN81:VOL:DCAE,DS8000:2107.BWN81:VOL:DDAE
DS8000:2107.BWP21:VOL:E0AF,DS8000:2107.BWN81:VOL:DCAF,DS8000:2107.BWN81:VOL:DDAF
DS8000:2107.BWP21:VOL:E0B0,DS8000:2107.BWN81:VOL:DCB0,DS8000:2107.BWN81:VOL:DDB0
DS8000:2107.BWP21:VOL:E0B1,DS8000:2107.BWN81:VOL:DCB1,DS8000:2107.BWN81:VOL:DDB1
DS8000:2107.BWP21:VOL:E0B2,DS8000:2107.BWN81:VOL:DCB2,DS8000:2107.BWN81:VOL:DDB2
DS8000:2107.BWP21:VOL:E0B3,DS8000:2107.BWN81:VOL:DCB3,DS8000:2107.BWN81:VOL:DDB3
DS8000:2107.BWP21:VOL:E0B4,DS8000:2107.BWN81:VOL:DCB4,DS8000:2107.BWN81:VOL:DDB4
DS8000:2107.BWP21:VOL:E0B5,DS8000:2107.BWN81:VOL:DCB5,DS8000:2107.BWN81:VOL:DDB5
DS8000:2107.BWP21:VOL:E0B6,DS8000:2107.BWN81:VOL:DCB6,DS8000:2107.BWN81:VOL:DDB6
DS8000:2107.BWP21:VOL:E0B7,DS8000:2107.BWN81:VOL:DCB7,DS8000:2107.BWN81:VOL:DDB7
DS8000:2107.BWP21:VOL:E0B8,DS8000:2107.BWN81:VOL:DCB8,DS8000:2107.BWN81:VOL:DDB8
DS8000:2107.BWP21:VOL:E0B9,DS8000:2107.BWN81:VOL:DCB9,DS8000:2107.BWN81:VOL:DDB9
DS8000:2107.BWP21:VOL:E0BA,DS8000:2107.BWN81:VOL:DCBA,DS8000:2107.BWN81:VOL:DDBA
DS8000:2107.BWP21:VOL:E0BB,DS8000:2107.BWN81:VOL:DCBB,DS8000:2107.BWN81:VOL:DDBB
DS8000:2107.BWP21:VOL:E0BC,DS8000:2107.BWN81:VOL:DCBC,DS8000:2107.BWN81:VOL:DDBC
DS8000:2107.BWP21:VOL:E0BD,DS8000:2107.BWN81:VOL:DCBD,DS8000:2107.BWN81:VOL:DDBD
DS8000:2107.BWP21:VOL:E0BE,DS8000:2107.BWN81:VOL:DCBE,DS8000:2107.BWN81:VOL:DDBE
DS8000:2107.BWP21:VOL:E0BF,DS8000:2107.BWN81:VOL:DCBF,DS8000:2107.BWN81:VOL:DDBF
DS8000:2107.BWP21:VOL:E0C0,DS8000:2107.BWN81:VOL:DCC0,DS8000:2107.BWN81:VOL:DDC0
DS8000:2107.BWP21:VOL:E0C1,DS8000:2107.BWN81:VOL:DCC1,DS8000:2107.BWN81:VOL:DDC1
DS8000:2107.BWP21:VOL:E0C2,DS8000:2107.BWN81:VOL:DCC2,DS8000:2107.BWN81:VOL:DDC2
DS8000:2107.BWP21:VOL:E0C3,DS8000:2107.BWN81:VOL:DCC3,DS8000:2107.BWN81:VOL:DDC3
DS8000:2107.BWP21:VOL:E0C4,DS8000:2107.BWN81:VOL:DCC4,DS8000:2107.BWN81:VOL:DDC4
DS8000:2107.BWP21:VOL:E0C5,DS8000:2107.BWN81:VOL:DCC5,DS8000:2107.BWN81:VOL:DDC5
DS8000:2107.BWP21:VOL:E0C6,DS8000:2107.BWN81:VOL:DCC6,DS8000:2107.BWN81:VOL:DDC6
DS8000:2107.BWP21:VOL:E0C7,DS8000:2107.BWN81:VOL:DCC7,DS8000:2107.BWN81:VOL:DDC7
DS8000:2107.BWP21:VOL:E0C8,DS8000:2107.BWN81:VOL:DCC8,DS8000:2107.BWN81:VOL:DDC8
DS8000:2107.BWP21:VOL:E0C9,DS8000:2107.BWN81:VOL:DCC9,DS8000:2107.BWN81:VOL:DDC9
DS8000:2107.BWP21:VOL:E0CA,DS8000:2107.BWN81:VOL:DCCA,DS8000:2107.BWN81:VOL:DDCA
DS8000:2107.BWP21:VOL:E0CB,DS8000:2107.BWN81:VOL:DCCB,DS8000:2107.BWN81:VOL:DDCB
DS8000:2107.BWP21:VOL:E0CC,DS8000:2107.BWN81:VOL:DCCC,DS8000:2107.BWN81:VOL:DDCC
DS8000:2107.BWP21:VOL:E0CD,DS8000:2107.BWN81:VOL:DCCD,DS8000:2107.BWN81:VOL:DDCD
DS8000:2107.BWP21:VOL:E0CE,DS8000:2107.BWN81:VOL:DCCE,DS8000:2107.BWN81:VOL:DDCE
DS8000:2107.BWP21:VOL:E0CF,DS8000:2107.BWN81:VOL:DCCF,DS8000:2107.BWN81:VOL:DDCF
DS8000:2107.BWP21:VOL:E0D0,DS8000:2107.BWN81:VOL:DCD0,DS8000:2107.BWN81:VOL:DDD0
DS8000:2107.BWP21:VOL:E0D1,DS8000:2107.BWN81:VOL:DCD1,DS8000:2107.BWN81:VOL:DDD1
DS8000:2107.BWP21:VOL:E0D2,DS8000:2107.BWN81:VOL:DCD2,DS8000:2107.BWN81:VOL:DDD2
DS8000:2107.BWP21:VOL:E0D3,DS8000:2107.BWN81:VOL:DCD3,DS8000:2107.BWN81:VOL:DDD3
DS8000:2107.BWP21:VOL:E0D4,DS8000:2107.BWN81:VOL:DCD4,DS8000:2107.BWN81:VOL:DDD4
